lexemeId,lemma,category,categoryLabel,senses
http://www.wikidata.org/entity/L618655,cereja do bolo,http://www.wikidata.org/entity/Q184511,idiom,1
http://www.wikidata.org/entity/L618656,cereja,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L618658,luz no fim do túnel,http://www.wikidata.org/entity/Q184511,idiom,1
http://www.wikidata.org/entity/L618660,fim,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L618665,mamão com açúcar,http://www.wikidata.org/entity/Q184511,idiom,1
http://www.wikidata.org/entity/L618666,mamão,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L618667,açúcar,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L618747,pizza,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L618748,acabar em pizza,http://www.wikidata.org/entity/Q10976085,verbal locution,1
http://www.wikidata.org/entity/L618749,andar na linha,http://www.wikidata.org/entity/Q10976085,verbal locution,1
http://www.wikidata.org/entity/L618750,ao pé da letra,http://www.wikidata.org/entity/Q184511,idiom,1
http://www.wikidata.org/entity/L618752,banho de água fria,http://www.wikidata.org/entity/Q1401131,noun phrase,1
http://www.wikidata.org/entity/L618753,frio,http://www.wikidata.org/entity/Q34698,adjective,1
http://www.wikidata.org/entity/L618865,boca de siri,http://www.wikidata.org/entity/Q184511,idiom,1
http://www.wikidata.org/entity/L618866,ir para o espaço,http://www.wikidata.org/entity/Q1778442,verb phrase,1
http://www.wikidata.org/entity/L618868,fora,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L618871,levar um fora,http://www.wikidata.org/entity/Q10976085,verbal locution,1
http://www.wikidata.org/entity/L618875,pensar na morte da bezerra,http://www.wikidata.org/entity/Q1778442,verb phrase,1
http://www.wikidata.org/entity/L619084,fazer vista grossa,http://www.wikidata.org/entity/Q10976085,verbal locution,1
http://www.wikidata.org/entity/L619086,grosso,http://www.wikidata.org/entity/Q34698,adjective,1
http://www.wikidata.org/entity/L619087,bode expiatório,http://www.wikidata.org/entity/Q184511,idiom,1
http://www.wikidata.org/entity/L619088,dar uma mãozinha,http://www.wikidata.org/entity/Q10976085,verbal locution,1
http://www.wikidata.org/entity/L619182,saudade,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L619299,dar sopa,http://www.wikidata.org/entity/Q1778442,verb phrase,1
http://www.wikidata.org/entity/L619300,de cabo a rabo,http://www.wikidata.org/entity/Q184511,idiom,1
http://www.wikidata.org/entity/L619304,mudar de ideia,http://www.wikidata.org/entity/Q1778442,verb phrase,1
http://www.wikidata.org/entity/L619952,voadora,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L620482,aula,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L620485,legislação,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L620486,poeta,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L620488,nave,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L620489,denominação,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L1490187,caixa,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L1490548,ísquio,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L1490551,vértebra,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L1490574,osso,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L1490592,frontal,http://www.wikidata.org/entity/Q34698,adjective,1
http://www.wikidata.org/entity/L1490596,esterno,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L1490604,côndilo,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L1490632,onça,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L1491457,elipse,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L1491460,estatueta,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L1491463,frente,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L1491470,obsidiana,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447945,biomédico,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447842,hipódromo,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447844,guindaste,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447846,sábio,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447847,mestre,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447849,orixá,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447850,monitor,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447851,berimbau,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447853,comerciante,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447854,conservante,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447855,governante,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447857,bandeirante,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447858,gabinete,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447859,canivete,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447860,pirarucu,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447864,bafômetro,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447865,termómetro,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447869,telemóvel,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447870,herdeiro,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447871,passageiro,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447872,taxista,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447874,surdo,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447875,canavial,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447876,metrô,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447877,porto,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447878,carnaval,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447879,charuto,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447880,viaduto,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447881,meteoro,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447882,cometa,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447883,flagra,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L447884,flautista,http://www.wikidata.org/entity/Q1084,noun,1
