entry_id	entry_status	error
DLP-espanta-espiritos_1-ecd90.xml	validated	Entry ID with '.xml' at the end
DLP-videojogador_1-1dfc0.xml	new	Entry ID with '.xml' at the end
DLP-acondroplasia_1-13436	new	'[...]' <definition> in sense DLP-acondroplasia_1-13436-1
DLP-antecipador_1-b1b61.xml	new	Entry ID with '.xml' at the end
DLP-covidiano_1-78de5.xml	new	Entry ID with '.xml' at the end
DLP-cao-cacador-africano_1-43b54.xml	new	Entry ID with '.xml' at the end
DLP-incorrencia_1-a08d7.xml	new	Entry ID with '.xml' at the end
DLP-pangrama_1-9edf7.xml	new	Entry ID with '.xml' at the end
DLP-intubacao_1-69390.xml	new	Entry ID with '.xml' at the end
DLP-piramidismo_1-b88d4	new	'[...]' <definition> in sense DLP-piramidismo_1-b88d4-1
DLP-adscrito2_1-7320b	new	'[...]' <definition> in sense DLP-adscrito2_1-7320b-1
DLP-lobo-guara_1-cd4d5.xml	validated	Entry ID with '.xml' at the end
DLP-dexametasona_1-0722b.xml	new	Entry ID with '.xml' at the end
DLP-burmilla_1-6ac3a.xml	new	Entry ID with '.xml' at the end
DLP-pisoteamento_1-67007.xml	validated	Entry ID with '.xml' at the end
DLP-desencuba_1-7785c.xml	new	Entry ID with '.xml' at the end
DLP-sphynx_1-6c18f.xml	new	Entry ID with '.xml' at the end
DLP-kerria_1-d9dc5	new	empty <definition> in sense DLP-kerria_1-d9dc5-1
DLP-secularismo_1-0d30c.xml	new	Entry ID with '.xml' at the end
DLP-lulismo_1-bad89	new	'[...]' <definition> in sense DLP-lulismo_1-bad89-1
DLP-cache_1-0fea6.xml	new	Entry ID with '.xml' at the end
DLP-supradialetal_1-1b656	new	'[...]' <definition> in sense DLP-supradialetal_1-1b656-1
DLP-homem-bomba_1-6af0c.xml	new	Entry ID with '.xml' at the end
DLP-movie_1-aed34	new	'[...]' <definition> in sense DLP-movie_1-aed34-1
DLP-bicamaral_1-3bbd9.xml	new	Entry ID with '.xml' at the end
DLP-zacum_1-35686	new	empty <definition> in sense DLP-zacum_1-35686-1
DLP-florbeliano_1-bd45d.xml	validated	Entry ID with '.xml' at the end
DLP-meme_1-9c2f9.xml	new	Entry ID with '.xml' at the end
DLP-walfkeria_1-f81ad	new	empty <definition> in sense DLP-walfkeria_1-f81ad-1
DLP-trinta-e-um_1-834e3	new	'[...]' <definition> in sense DLP-trinta-e-um_1-834e3-1
DLP-personalizavel_1-2bd40.xml	new	Entry ID with '.xml' at the end
DLP-apateismo_1-b0b09.xml	new	Entry ID with '.xml' at the end
DLP-kunthia_1-a71ba	new	empty <definition> in sense DLP-kunthia_1-a71ba-1
DLP-biblioterapia_1-50f07.xml	validated	Entry ID with '.xml' at the end
DLP-chadico_1-3034a.xml	new	Entry ID with '.xml' at the end
DLP-nemesiano_1-cb7a2.xml	new	Entry ID with '.xml' at the end
DLP-assossego_1-639c8	new	'[...]' <definition> in sense DLP-assossego_1-639c8-1
DLP-neocolonia_1-6a4e7.xml	validated	Entry ID with '.xml' at the end
DLP-mabeco_1-da28e.xml	validated	Entry ID with '.xml' at the end
DLP-intramontano_1-4778a.xml	validated	Entry ID with '.xml' at the end
DLP-km_1-9b05d.xml	new	Entry ID with '.xml' at the end
DLP-fotomaniaco_1-e1d64	new	'[...]' <definition> in sense DLP-fotomaniaco_1-e1d64-1
DLP-involuir_1-12e6e.xml	new	Entry ID with '.xml' at the end
DLP-sino-turco_1-014e8.xml	validated	Entry ID with '.xml' at the end
DLP-wi-fi_1-c084d.xml	new	Entry ID with '.xml' at the end
DLP-coronavirologia_1-56668.xml	validated	Entry ID with '.xml' at the end
DLP-amiloplasto_1-d7e17	new	'[...]' <definition> in sense DLP-amiloplasto_1-d7e17-1
DLP-artesiano_1-9401f	edited	<sense> without xml_id
DLP-camarao-purpura_1-65424.xml	new	Entry ID with '.xml' at the end
DLP-autocomunicacao_1-fbcfc	new	'[...]' <definition> in sense DLP-autocomunicacao_1-fbcfc-1
DLP-biogeoquimico_1-ca660.xml	new	Entry ID with '.xml' at the end
DLP-plenaria_1-af049.xml	new	Entry ID with '.xml' at the end
DLP-transducao_1-2a6b7.xml	new	Entry ID with '.xml' at the end
DLP-sorveira-brava_1-07492.xml	new	Entry ID with '.xml' at the end
DLP-transtemporal_1-9d851	new	'[...]' <definition> in sense DLP-transtemporal_1-9d851-1
DLP-hamiltoniano_1-032c4.xml	new	Entry ID with '.xml' at the end
DLP-tirosina_1-fd5d8.xml	new	Entry ID with '.xml' at the end
DLP-test_1-098f6	new	'[...]' <definition> in sense DLP-test_1-098f6-1
DLP-endotoxina_1-9362f.xml	new	Entry ID with '.xml' at the end
DLP-siltito_1-3a076	new	'[...]' <definition> in sense DLP-siltito_1-3a076-1
DLP-bloguista_1-8099d.xml	new	Entry ID with '.xml' at the end
DLP-casa_2_1-a2a5e	new	'[...]' <definition> in sense DLP-casa_2_1-a2a5e-1
DLP-policlonal_1-a81df.xml	new	Entry ID with '.xml' at the end
DLP-viralizar_1-c7d17.xml	edited	Entry ID with '.xml' at the end
DLP-ultramarinista_1-97f50	new	'[...]' <definition> in sense DLP-ultramarinista_1-97f50-1
DLP-cosmista_1-77f6d	new	'[...]' <definition> in sense DLP-cosmista_1-77f6d-1
DLP-biodiesel_1-8f25c.xml	new	Entry ID with '.xml' at the end
DLP-bidimensional_1-77c0c.xml	new	Entry ID with '.xml' at the end
DLP-hipercalorico_1-4ff85.xml	validated	Entry ID with '.xml' at the end
DLP-autapomorfia_1-e94dc.xml	new	Entry ID with '.xml' at the end
DLP-sangue-de-boi_1-21415.xml	validated	Entry ID with '.xml' at the end
DLP-devon_rex_1-7be40.xml	new	Entry ID with '.xml' at the end
DLP-lixo1_1-9dff3	new	'[...]' <definition> in sense DLP-lixo1_1-9dff3-1
DLP-incumbente_1-d7df7.xml	new	Entry ID with '.xml' at the end
DLP-neurodegeneracao_1-e9dcb.xml	new	Entry ID with '.xml' at the end
DLP-cairologia_1-6a13a	new	'[...]' <definition> in sense DLP-cairologia_1-6a13a-1
DLP-subsariano_1-2722e.xml	new	Entry ID with '.xml' at the end
DLP-desaceleramento_1-ece5f.xml	reviewed	Entry ID with '.xml' at the end
DLP-cerato-_1-793cc	new	'[...]' <definition> in sense DLP-cerato-_1-793cc-1
DLP-blogue_1-578f9.xml	new	Entry ID with '.xml' at the end
DLP-garretiano_1-e66f3.xml	validated	Entry ID with '.xml' at the end
DLP-pranchamento_1-21034	new	'[...]' <definition> in sense DLP-pranchamento_1-21034-1
DLP-arraso_1-324a1.xml	validated	Entry ID with '.xml' at the end
DLP-albertina_1-eec66	new	'[...]' <definition> in sense DLP-albertina_1-eec66-1
DLP-martiniano_1-c91d6.xml	validated	Entry ID with '.xml' at the end
DLP-advogacia_1-0c8dc	new	'[...]' <definition> in sense DLP-advogacia_1-0c8dc-1
DLP-woodwardia_1-583ab	new	empty <definition> in sense DLP-woodwardia_1-583ab-1
DLP-fialhiano_1-d3746.xml	new	Entry ID with '.xml' at the end
DLP-luteo_1-b7824.xml	new	Entry ID with '.xml' at the end
DLP-enquadrante_1-dc2da.xml	new	Entry ID with '.xml' at the end
DLP-zabele_1-3baf7	new	empty <definition> in sense DLP-zabele_1-3baf7-1
DLP-grafo_1-95007.xml	new	Entry ID with '.xml' at the end
DLP-lobolar_1-b7b40.xml	validated	Entry ID with '.xml' at the end
